	final_prompt
0	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Every frost is named for the Ksupp Buddha.
English human reference: Praise be to the Buddha who is saved in all things .

Score: [/INST]"
1	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: For example, the little kid likes to touch his dick.
English human reference: For example , a small child likes to touch his penis .

Score: [/INST]"
2	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: In this way lectured intelligence on the menace, originally to come to pinnacle determination.""
English human reference: Meditate on the Buddha Dhamma as preached in this manner to truly gain merit and attain Nirvana . ""

Score: [/INST]"
3	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: In 494 its balance was absorbed by goguryeo.
English human reference: In 494 its remnants were absorbed by Goguryeo .

Score: [/INST]"
4	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: In the ears here, the mansion hole is made of large penetrating jewelry.
English human reference: Here , large plug shaped ornaments are put into the fleshy hole in the earlobe .

Score: [/INST]"
5	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: By contrast with the royal yi house, the Andong Kim clan had contested hundreds of power.
English human reference: The Andong Kim dynasty had strengthened its power by intermarrying with the royal house .

Score: [/INST]"
6	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Also 36 offices in other offices contributed to this institution's move.
English human reference: Also , 36 officers from other offices contributed to the running of this institution .

Score: [/INST]"
7	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The daughters of the kings of karthik and siddhartha were executed.
English human reference: The daughters of kings Kavantissa and Saddhatissa were ordained .

Score: [/INST]"
8	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Its defeated enemy is portrayed with ruined scenes.
English human reference: It is adorned with pictures of defeated enemies .

Score: [/INST]"
9	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: And the facade begins to be more than the rest of the body.
English human reference: Also , the face begins to swell more than any other part of the body .

Score: [/INST]"
10	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Lack of the price of broadcast rights in television channels was a serious issue as the commercial time had to be free.
English human reference: The declining cost of broadcasting rights posed such a serious problem that television channels had to offer free advertising time .

Score: [/INST]"
11	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Originally these cottages were built but in the later period its community foundation is wide.
English human reference: Initially it consisted of these divisions but later on its social base expanded .

Score: [/INST]"
12	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Think if there's an ice capacity except for a few capacities.
English human reference: Besides minerals , think if there is something truly called an ice cube here .

Score: [/INST]"
13	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: But through the establishment of such a kind of organization, farmers will have some hands on themselves.
English human reference: But by setting up such an organization , the farmers will realize that they too have some help .

Score: [/INST]"
14	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: If used correctly, between the rodent teeth that stay between the teeth and the adjacent disease frequently begins and the teeth rotate on the growing glass lining of the tablet.
English human reference: Used correctly , it removes plaque between the teeth and on the gum line , the place where periodontal disease often begins and tooth decay develops .

Score: [/INST]"
15	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The Metropolitan line service between Moogate and aldgate was resumed on 25 July.
English human reference: On July 25 , the Metropolitan Line service resumed between Mooregate and Aldgate .

Score: [/INST]"
16	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Polypropylene, polypropylene, polypropylene, polypropylene, polypropylene.
English human reference: Powdered , uncooked , pure , fragrant rice is cooked in a pan and taken out of the pot .

Score: [/INST]"
17	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: No person in the world has the strength to stop aging.
English human reference: No one in the world has the power to stop aging .

Score: [/INST]"
18	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Table of contemporary undertakings is hidden in arithmetic.
English human reference: Things that are thus temporarily suppressed are hidden in the awichnaya

Score: [/INST]"
19	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The Jewish life in the Christian country often consisted of blood libels, neopaganism, inspiration and censorship.
English human reference: Jewish life in Christian lands was often marked by blood libels , exile , coercion , and genocide .

Score: [/INST]"
20	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: In addition to the fragmented ears of many fantasy calculations, a sign of weird life.
English human reference: In addition , pointed ears are a feature of many fantasy mystical creatures .

Score: [/INST]"
21	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: This name has been used to create vegetable salads.
English human reference: The name comes from the fact that it is used to make vegetable salads .

Score: [/INST]"
22	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: But thirty five years later IV was not satisfied until it was relocated.
English human reference: But it was not planted until thirty-five years later by Thutmose IV .

Score: [/INST]"
23	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: These foils have occurred over the past and the speed is rarely climbed due to the greater foil cases.
English human reference: These catastrophes have occurred throughout the past and are accelerating because of the rare catastrophes that occur .

Score: [/INST]"
24	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Ancient recent religions mesopotamian ancient history of Mesopotamia, lion of Babylon
English human reference: Ancient Oriental Religions Mesopotamian Mythology History of Mesopotamia The Lion of Babylon

Score: [/INST]"
25	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Therefore the hicksons of the north were easier to fight with the döbians in the south.
English human reference: So it was easy to fight the Hyksos in the north and the Nubians in the south .

Score: [/INST]"
26	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: A number of hardware catalogs about various tasks are assembled.
English human reference: A number of hardware functions have been frozen and assembled .

Score: [/INST]"
