	final_prompt
0	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: These last things may not be wanted by a rational player, or perhaps not wanted, in order to be a rational wish.
English human reference: These last things may not be wanted by a rational actor , or more accurately , should not be wanted , in order to be a rational wish-maker .

Score: [/INST]"
1	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: It is important to decide what a difference there is between what he has done and the actions that show us the gravity of the murder.
English human reference: It is important to decide how big a difference there is between what he has done and the actions that show us the gravity of the murder .

Score: [/INST]"
2	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: On the first day in Kiev, he met Ukrainian Prime Minister Viktor Yanukovych and President Viktor Yushchenko.
English human reference: On the first day , he met in Kiev with Ukrainian Prime Minister Viktor Yanukovych and President Viktor Yushchenko .

Score: [/INST]"
3	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: There is no Estonian diplomatic representation or honorary consul in the country.
English human reference: There is no Estonian diplomatic mission or honorary consul in the country .

Score: [/INST]"
4	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Some Islamic chemists already knew that some metals would become more difficult when they bought.
English human reference: Some Islamic chemists already knew that some metals would become heavier when they rust .

Score: [/INST]"
5	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: According to the chronics of Renner, 'kings passed on to the Estonians and restricted Tallinn to ten thousand men'.
English human reference: According to the chronicle of Renner , the kings then "" continued with the Estonians and besieged Tallinn with ten thousand men "" .

Score: [/INST]"
6	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The Popperi démarches criterion between science and pseudo-science stipulated that theory must be homogenised.
English human reference: Popper 's demarcation criterion between science and pseudo-science stipulated that theory must be falsified .

Score: [/INST]"
7	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Water is relatively clean, even though some places are gathering sludge.
English human reference: Water is relatively clean , even though sludge gathers in some places .

Score: [/INST]"
8	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The General Affairs Council has made the final preparations to direct the draft EU budget to the European Council.
English human reference: The General Affairs Council has made the final preparations to forward the draft EU budget to the European Council meeting .

Score: [/INST]"
9	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: According to the philosophers in Mileetos School, all the things come from one spinary.
English human reference: According to the philosophers of the Milesian school , all things come from one primordial origin .

Score: [/INST]"
10	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: From the complex theories that the philosophy must develop, simple and obvious facts must be returned.
English human reference: From the complex theories that philosophy must develop , we must return to simple and obvious facts .

Score: [/INST]"
11	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: And if so, the loan will try to identify them straight away.
English human reference: And if so , Laine will try to identify them at once .

Score: [/INST]"
